"AB  - We prepared to investigate the association of four well-defined polymorphisms in   the receptor for advanced glycation end-products (RAGE) gene with the changes of   fasting blood soluble RAGE (sRAGE) and endogenous secretory RAGE (esRAGE) and the  risk for impaired glucose metabolism (IGM) in 1704 patients with primary  hypertension, aiming to infer possible causality between sRAGE/esRAGE and IGM.  This was a hospital-based case-control study, including 848 patients coexisting  with IGM (the case group) and 856 patients with normal glucose tolerance (the  control group). Fasting blood sRAGE and esRAGE concentrations were measured in  300 cases and 300 controls. There were significant differences in the  genotypes/alleles of T-429C (rs1800625) and T-374A (rs1800624) polymorphisms  between the case and control groups after Bonferroni correction (P<0.05/8).  Adjusted estimates of above two polymorphisms for IGM risk were remarkably  significant, especially under the recessive model (odd ratio [OR], 95% confidence  interval [CI], P: 3.57, 1.95-5.18, 0.002 for T-429C and 3.49, 1.42-8.58, 0.007  for T-374A). Mean sRAGE and esRAGE concentrations were significantly higher in  controls than in cases (P<0.001). Participants with the rs1800625 -429CC and  -429TC genotypes had significantly lower sRAGE (417.3 and 473.6 vs. 502.3pg/mL,  P<0.01) and esRAGE (230.1 and 298.0 vs. 340.4pg/mL, P<0.05) concentrations than  those with the -429TT genotype in primary hypertensive patients with IGM. Further  Mendelian randomization analysis revealed that per 100pg/mL reduction in fasting   blood sRAGE and esRAGE was causally associated with 2.40-fold (95% CI: 1.46-3.94)  and 2.65-fold (95% CI: 1.24-5.13) increased IGM risk, respectively. Our findings   collectively demonstrate that fasting blood sRAGE and esRAGE may be causally  implicated in IGM in primary hypertensive patients."|"igm,esrage,srage,polymorphisms,blood"|"esrage,igm,srage,patients,95" 
"AB  - The diagnosis of primary aldosteronism typically requires at least one  confirmatory test. The fludrocortisone suppression test is generally accepted as   a reliable confirmatory test, but it is cumbersome. Evidence from accuracy  studies of the saline infusion test (SIT) and the captopril challenge test (CCT)   has provided conflicting results. This prospective study aimed to evaluate the  diagnostic accuracy of the SIT and CCT using fludrocortisone suppression test as   the reference standard. One hundred thirty-five patients diagnosed with primary  aldosteronism and 101 patients diagnosed with essential hypertension who  completed the 3 confirmatory tests were included for the diagnostic accuracy  analysis. The areas under the receiver-operator characteristics curves of the CCT  and SIT were 0.96 (95% confidence interval [CI], 0.92-0.98) and 0.96 (95% CI,  0.92-0.98), respectively, using post-test plasma aldosterone concentration (PAC)   for diagnosis. However, the areas under the receiver-operator characteristics  curves of the CCT decreased to 0.71 (95% CI, 0.65-0.77) when the PAC suppression   percentage was used to diagnose primary aldosteronism. The optimal cutoff of PAC   post-CCT was set at 11 ng/dL, resulting in a sensitivity of 0.90 (95% CI,  0.84-0.95) and a specificity of 0.90 (95% CI, 0.83-0.95), which were not  significantly different from those of SIT (with PAC post-SIT set at 8 ng/dL,  sensitivity: 0.85 [95% CI, 0.78-0.91], P=0.192; specificity: 0.92 [95% CI,  0.85-0.97], P=0.551). In conclusion, both CCT and SIT are accurate alternatives  to the more complex fludrocortisone suppression test. Because CCT is safe and  much easier to perform, it may serve as a more feasible alternative. When  interpreting the results of CCT, PAC post-CCT is highly recommended."|"cct,test,sit,pac,suppression"|"95,cct,test,ci,sit" 
"AB  - BACKGROUND: The relationship between environmental exposure of non-smokers to  cigarette smoke and the coronary artery calcium scores has not been sufficiently   documented. The aim of the study was to identify the relationship between  environmental exposure to cigarette smoke and the risk of coronary artery disease  (CAD) estimated non-invasively through measurement of coronary artery calcium  score by computed tomography in patients with essential hypertension. MATERIAL  AND METHODS: The study was conducted on 67 patients with essential hypertension,   non-smokers environmentally exposed to cigarette smoke (group A) and on 67  patients with essential hypertension, non-smokers not exposed to cigarette smoke   (group B), selected using the case to case. Environmental exposure to cigarette  smoke was evaluated using a questionnaire. The risk of development of coronary  artery disease was estimated non-invasively through measurement of coronary  artery calcium score (CACS) by computed tomography. RESULTS: Group A was  characterised by significantly higher CACS and left anterior descending (LADCS)  calcium scores than group B. Compared to group B, group A had significantly  higher percentage of patients with significant risk of CAD estimated on the basis  of CACS values, and significantly lower percentage of patients with practically  no risk of CAD estimated with the same method. Advanced age, peripheral artery  diseases and environmental exposure to cigarette smoke are independent risk  factors associated with increased CACS and LADCS values. In addition, higher BMI   and hypercholesterolemia are independent risk factors for increased values of  LADCS. CONCLUSIONS: In patients with essential hypertension environmental  exposure to cigarette smoke may result in elevated risk of coronary artery  disease estimated non-invasively through measurement of coronary artery calcium  score by computed tomography."|"risk,smoke,patients,artery,cigarette"|"artery,cigarette,coronary,risk,smoke" 
"AB  - BACKGROUND: Essential hypertension (EH) is influenced by various environmental  and genetic factors. Nitric oxide is important for the functional integrity of  the vascular endothelium and is produced in endothelial cells by the enzyme  endothelial nitric oxide synthase (eNOS). EH has a strong genetic component, and   the NOS3 gene, which encodes eNOS, represents an interesting candidate for  contribution to the phenotype. The most clinically relevant polymorphisms in the   NOS3 gene are rs1799983 in exon 7 (encoding Glu298Asp), a variable number tandem   repeat (VNTR) in intron 4, and rs2070744 (T-786C) in the promoter region. This  study aims to investigate the association between these three polymorphisms in  the NOS3 gene and EH in Sudanese patients. METHODS: Hypertensive patients (n =  157) > 18 years of age with established hypertension from various hospitals in  Khartoum, and controls (n = 85) > 18 years of age and with blood pressure  measurements <140/90, were included in this case control study. Genotypes at the   NOS3 variants were determined using TaqMan and polymerase chain reaction  restriction fragment length polymorphism (PCR-RFLP) analyses. Genotype and allele  frequencies were compared between the two groups by chi(2) analysis, and  differences were expressed as odds ratios with 95% confidence intervals (CIs). P   values <0.05 were considered statistically significant. RESULTS: The rs2070744  polymorphism in NOS3 was found to be associated with EH in the Sudanese  population as the patients group had higher frequency of CC genotype compared  with the controls (6.6% vs 6.1%, p = 0.02). Considering a dominant inheritance  model, the frequency of TC + CC genotypes in patients was significantly higher  than that in the control subjects (52.6% vs 34.1%, respectively; p < 0.01), with   an odds ratio (95% CI) of 2.14 (1.23-3.74). In addition, the C allele was more  frequent in the patients than the control group (29.6% vs 20%, p = 0.03, OR =  1.84 (1.15-2.93)). The c allele of intron 4 VNTR was reported in >1% of the  Sudanese population under study. CONCLUSION: The results of this study indicated   that the rs2070744 polymorphism in NOS3 may be a genetic susceptibility factor  for EH in the Sudanese population. The c allele of intron 4 VNTR is not rare in  the Sudanese population."|"nos3,eh,patients,study,sudanese"|"nos3,eh,patients,sudanese,allele" 
"AB  - OBJECTIVE: In order to search for metabolic biomarkers of antihypertensive drug  responsiveness, we measured >600 biochemicals in plasma samples of subjects  participating in the GENRES Study. Hypertensive men received in a double-blind  rotational fashion amlodipine, bisoprolol, hydrochlorothiazide and losartan, each  as a monotherapy for one month, with intervening one-month placebo cycles.  METHODS: Metabolomic analysis was carried out using ultra high performance liquid  chromatography-tandem mass spectrometry. Full metabolomic signatures (the drug  cycles and the mean of the 3 placebo cycles) became available in 38 to 42  patients for each drug. Blood pressure was monitored by 24-h recordings. RESULTS:  Amlodipine (P values down to 0.002), bisoprolol (P values down to 2 x 10-5) and  losartan (P values down to 2 x 10-4) consistently decreased the circulating  levels of long-chain acylcarnitines. Bisoprolol tended to decrease (P values down  to 0.002) the levels of several medium- and long-chain fatty acids.  Hydrochlorothiazide administration was associated with an increase of plasma uric  acid level (P = 5 x 10-4) and urea cycle metabolites. Decreases of both systolic   (P = 0.06) and diastolic (P = 0.04) blood pressure after amlodipine  administration tended to associate with a decrease of plasma hexadecanedioate, a   dicarboxylic fatty acid recently linked to blood pressure regulation.  CONCLUSIONS: Although this systematic metabolomics study failed to identify  circulating metabolites convincingly predicting favorable antihypertensive  response to four different drug classes, it provided accumulating evidence  linking fatty acid metabolism to human hypertension."|"drug,fatty,acid,plasma,amlodipine"|"drug,values,10,acid,amlodipine" 
"AB  - BACKGROUND: Biomarkers are commonly used to estimate the presence of subclinical   cardiovascular disease (CVD) in patients with essential arterial hypertension  (HT). In addition to known association between cystatin C and glomerular  filtration rate (GFR), elucidating the association between cystatin C and  vascular biomarkers (intima-media thickness of common carotid arteries (CCIMT),  carotid plaque and renal artery resistance index (RRI)) in patients with  unresponsive hypertensive phenotype could be of significant clinical interest.  METHODS: Participants (n = 200, median age 58 (52-64) years, 49% female) under  treatment with antihypertensive drugs were stratified into two subgroups based on  their blood pressure level as having responsive hypertension (RHT - compliant and  responsive to treatment, n = 100), or nonresponsive (URHT - compliant but  nonresponsive to treatment, n = 100). GFR was measured by isotopic  (slope-intercept) method (99m Tc diethylene triamine penta-acetic acid - mGFR).  RESULTS: The URHT group had significantly higher median cystatin C serum  concentration (p = 0.02) and CCIMT (p = 0.00) compared to the RHT group, with no   significant difference in RRI (p = 0.51) and mGFR among subgroups [69.9 +/- 28.2   vs 76.74 +/- 23.61 ml/min/1.73m(2), p = 0.27]. In the URHT group, cystatin C was   found to be associated with CCIMT (p = 0.02), hsCRP (p = 0.01) and duration of HT  (p = 0.02), independently of mGFR and age. Independent predictors of URHT  phenotype were CCIMT (p= 0.02) and hsCRP (p= 0.04). CONCLUSION: In addition to  GFR, cystatin C serum concentration is positively and independently associated  with CCIMT in patient with URHT phenotype and subclinical CVD. Prospective larger  studies should further investigate the clinical importance of this relationship."|"urht,ccimt,cystatin,gfr,mgfr"|"ccimt,cystatin,urht,02,gfr" 
"AB  - INTRODUCTION: Hypertension and atherosclerosis though separate entities, are  interrelated as hypertension plays an important role in the pathogenesis of  atherosclerosis. This study was undertaken to study the association of carotid  intimal medial thickness with left ventricular hypertrophy (LVH) in hypertensive   patients. MATERIALS AND METHODS: Hundred hypertensives (JNC-7, Stage 1 and 2)  between 30 and 55 years were enrolled in this prospective observational study  conducted at a tertiary care teaching institute of Punjab, India.  Electrocardiogram, Carotid Doppler, and Echocardiography were carried out in  addition to routine biochemical investigations. RESULTS: Increased carotid  intimal medial thickness (CIMT) had statistically significant association with  age, duration of hypertension, high systolic and diastolic blood pressure (BP),  left ventricular hypertrophy and left ventricular mass index but was not  associated with body mass index, low-density lipoproteins, and total cholesterol.  CONCLUSIONS: LVH and arterial wall changes occur concurrently, and therefore,  management of hypertension should not be limited just to control of BP but should  also include therapy for carotid plaques and increased CIMT."|"hypertension,carotid,study,ventricular,left"|"carotid,hypertension,left,study,ventricular" 
"AB  - AIMS: Essential hypertension (EH) is a disease in which both environment and  genes have an important role. This study was designed to identify the interaction  model between genetic variants and environmental risk factors that most highly  potentiates EH development. METHODS: We performed a case-control study with 1641   participants (mean age 50.6 +/- 8.1 years), specifically 848 patients with EH and  793 controls, adjusted for gender and age. Traditional risk factors, biochemical   and genetic parameters, including the genotypic discrimination of 14 genetic  variants previously associated with EH, were investigated. Multifactorial  dimensionality reduction (MDR) software was used to analyze gene-environment  interactions. Validation was performed using logistic regression analysis with  environmental risk factors, significant genetic variants, and the best MDR model.  RESULTS: The best model indicates that the interactions among the ADD1 rs4961  640T allele, diabetes, and obesity (body mass index >/=30) increase approximately  four-fold the risk of EH (odds ratio = 3.725; 95% confidence interval:  2.945-4.711; p < 0.0001). CONCLUSION: This work showed that the interaction  between the ADD1 rs4961 variant, obesity, and the presence of diabetes increased   the susceptibility to EH four-fold. In these circumstances, lifestyle adjustment   and diabetes control should be intensified in patients who carry the ADD1  variant."|"eh,risk,diabetes,genetic,add1"|"eh,genetic,risk,add1,diabetes" 
"AB  - Purpose - to improve antihypertensive therapy on the basis of studying the  antioxidant properties of an angiotensin-converting enzyme (ACE) inhibitor  (fosinopril sodium) and a diuretic (hydrochlorothiazide), their impact on  endothelial dysfunction and pro-inflammatory cytokines activity in hypertensive  patients with overweight and obesity. A combination of fosinopril sodium 20  mg/day and hydrochlorothiazid 12.5 mg/day was prescribed to 54 patients with  essential hypertension of 1-3 grades, 30 to 65 years old . The control group  included 10 healthy subjects matched for age and sex. During the course of  combined antihypertensive therapy we observed a significant decrease of i-NOS  activity, reduce of TNF-alpha type I of its soluble receptor (sTNF-alphaRI), and   8-iso-PgF2alpha in the patients. Activity of e-NOS, superoxide dismutase and  catalase, in contrast, were increased in patients with hypertension and  concomitant obesity. Thus, the improvement of endothelial function, a significant  decrease autoimmune activation due to lower tension of oxidative stress in the  examined patients optimizes use of a combination of fosinopril sodium and  hydrochlorothiazid for differentiated therapy in hypertensive patients with  obesity."|"patients,activity,therapy,fosinopril,sodium"|"patients,activity,fosinopril,obesity,sodium" 
"AB  - Essential hypertension (EH) is a complex disease in which physiological,  environmental, and genetic factors are involved in its genesis. The genetic  variant of the alpha-adducin gene (ADD1) has been described as a risk factor for   EH, but with controversial results.The objective of this study was to evaluate  the association of ADD1 (Gly460Trp) gene polymorphism with the EH risk in a  population from Madeira Island.A case-control study with 1614 individuals of  Caucasian origin was performed, including 817 individuals with EH and 797  controls. Cases and controls were matched for sex and age, by frequency-matching   method. All participants collected blood for biochemical and genotypic analysis  for the Gly460Trp polymorphism. We further investigated which variables were  independently associated to EH, and, consequently, analyzed their interactions.In  our study, we found a significant association between the ADD1 gene polymorphism   and EH (odds ratio 2.484, P = .01). This association remained statistically  significant after the multivariate analysis (odds ratio 2.548, P = .02).The ADD1   Gly460Trp gene polymorphism is significantly and independently associated with EH  risk in our population. The knowledge of genetic polymorphisms associated with EH  is of paramount importance because it leads to a better understanding of the  etiology and pathophysiology of this pathology.  Funchal, Madeira bFaculty of Medical Sciences, New University of Lisbon, Campo  dos Martires da Patria, Lisboa cLaboratory of Human Genetics, Madeira University,  Campus da Penteada, Funchal-Madeira, Portugal."|"eh,madeira,gene,genetic,study"|"eh,add1,gene,madeira,polymorphism" 
